name,countryCode,countryName,year,tei,isai,isli,soi,tpi,auci,uai,notcd,tasi,l3ai,cjci,cjli
Shinhan (KR),KR,Korea,2020,475447183519,38687609428,59322983358,81877514134,1429374246781,281247611343,8388485802,156849383861,34481158670,7989751561,35990757852,33544139429
SMFG (JP),JP,Japan,2020,2068371592697,293182211305,169342536163,232356953959,33468751441419,95119658145,93074875131,7139390026708,98940041354,4010525225,483214980966,345763834614
SMTH (JP),JP,Japan,2020,521177943603,40754564024,60364564067,100374515898,7860728856725,2201549501002,75247052,1359739666708,24866114950,6443860929,65844870602,111972096292
Société Générale (FR),FR,France,2020,1283601365176,170421384429,258343291474,235655325295,33343686857107,2389252246283,126532630321,14817826201809,79101800092,12647000000,509189380795,410943626168
Standard Chartered (GB),GB,United Kingdom,2020,733917182990,115444392038,167735420836,85527424263,26669041001461,1147243159525,52482275309,6868546984079,36378415055,2402412193,538497270252,427983864607
State Bank of India (IN),IN,India,2020,569856926535,31210247936,42647155106,42863419204,1873565349324,1165474565,5357996920,150122460726,22905802631,1740637104,13796318476,45605754576
State Street (US),US,USA,2020,253797386972,57159353789,211583862055,33380445783,77577457327860,23675473893203, -   ,1413368506932,14022756099,13038872,90787221950,141411457979
Toronto Dominion (CA),CA,Canada,2020,1191207262402,54958902474,23287155401,202693848369,20107374904624,289885439242,131458253759,9841585555006,56270599763,1645877312,509795969674,492012825035
Truist (US),US,USA,2020,472916306973,5072121264,5950615275,104261266452,1051665716435,97408524211,30305598581,238727895155,7732051181,1800179285,2628962596,2100073345
UBS (CH),CH,Switzerland,2020,855811897033,147565725020,235357734737,204130248851,21431931686841,3848126566889,104865944148,15853875984427,64929297068,6544443547,463590702631,406341630550
Unicredit (IT),IT,Italy,2020,1075629142600,214553512000,225221987000,128224405865,13814696303000,506796984000,76403143513,3880366313000,17425655000,4789174000,484474034000,465677430000
US Bancorp (US),US,USA,2020,551189715862,16748431269,12232091930,117198272407,8560485702215,1595358977236,38464672825,552814766796,19974737195,4058348955,11842555625,36095672742
Wells Fargo (US),US,USA,2020,1838405764252,126572532048,120307472148,329171135359,43877070037970,2833644383276,221767814469,7466422864905,65452748790,17994458488,141202021095,58383443106
Westpac (AU),AU,Australia,2020,641825916333,37138367376,58005041486,181567669857,10516325619340,17929039,325616507,2971347701661,16068779296,199663985,89907421700,64911201514
Wooribank (KR),KR,Korea,2020,342428330359,32514928404,48892494403,39062350612,1515411385626,132629702408,602050903,249164207832,12512372106,3077180414,25835775656,22895264405
ABN AMRO (NL),NL,Netherlands,2019,484825644291,64727777767,28579724980,102549800000,12337030225460,177889870120,9480794253,1438013327808,2474000000,1168000000,79532024356,59202220000
Agricultural Bank (CN),CN,China,2019,3499713401552,228037862802,249385893069,329514352803,40180321490491,1263839723885,95864208904,397244435032,32468332611,11196460156,57620663501,66898663726
ANZ (AU),AU,Australia,2019,618831431809,52965821309,77726857132,160412629061,28627777390194,4849914658,17260456405,6655018948165,26514149233,795248516,136234745925,160917204308
Bank of America (US),US,USA,2019,2690526526766,197860957818,114120526978,572970446890,101580291976471,2796199038789,458041659274,25642185331678,152682036683,9196190138,380461100253,253299804180
Bank of Beijing (CN),CN,China,2019,399283349151,26335194976,97277830410,68183151204,7458947845280,172565540247,17985550785,44653864616,3169929965,507629861,3635850270,2993524339
Bank of China (CN),CN,China,2019,3110791056648,268721930795,252248089767,503613639710,79827306004151,1421798733295,238035866560,1359607527193,143925772919,8052660248,498085994112,580218467764
Bank of Montreal (CA),CA,Canada,2019,662377249080,76205669647,40171812681,186201330553,18465063228428,163458692986,51721466596,4254781729261,24104619841,2978360735,288203270488,233722419156
Bank of Nova Scotia (CA),CA,Canada,2019,853820383521,97026178475,71593122460,209780655359,11523580068615,199954575987,37985799589,3883128057652,34045331741,644937449,345789247189,256605786512
Bank of Shanghai (CN),CN,China,2019,319685699775,59808296439,60228305152,25009692982,7214590703550,229480943803,20439033474,395553835241,2301499948,13001431870,4660378461,15158502454
Barclays (GB),GB,United Kingdom,2019,1339173483834,190749713570,183876776772,211068119853,51816911234196,132462388346,291485625306,33894951793081,83078683268,17364833099,815259205750,612665759610
BBVA (ES),ES,Spain,2019,738934863000,58487340701,68077812511,107479616854,12337889827938,768595958000,24017582883,3706618056916,14471817503,3498558000,380537972000,289646501000
BNP Paribas (FR),FR,France,2019,1971545897955,154631343779,197548591448,305983288070,45634061065563,5680645641074,192072361736,20486182173465,65727880950,10900464969,1052148392028,923404895386
BNY Mellon (US),US,USA,2019,339971693094,69702688272,223975511852,74079579851,150558811651627,26201709098845,11352145274,988778707550,27946412677, -   ,100891045047,152192451495
BoComm (CN),CN,China,2019,1365335819082,152414598428,171116404620,151046438345,20588543231088,1201233296348,69146224622,767289195923,68025174437,8798748188,94288154228,104266373666
BPCE (FR),FR,France,2019,1251870305165,81615792191,115201037695,289346247095,21078853867377,91106008733,54369893194,5050636625856,38332366060,16968446675,220758676076,165378849002
CaixaBank (ES),ES,Spain,2019,348006854257,14575383956,11838614466,51780607688,978836375767,225210697000,216759792,493612680000,1531197520,1007172000,58341981000,32800570000
